COUNTRY,,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,NOTES
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,,IMF,241,279,310,310,310,348,342,338,404,469,528,541,538,460,386,369,347,384,362,328,348,440,554,
Travel - US$ Mn,,IMF,213,235,250,256,276,261,256,244,305,316,344,385,377,305,240,228,246,286,262,212,238,329,371,
Passenger transport - US$ Mn,,IMF,28,44,60,54,34,87,86,94,99,153,184,156,161,155,146,141,101,98,100,116,110,111,183,
BAHRAIN,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,1/ 2/,VF,"2,311","1,988","2,600","2,898","3,280","3,869","4,388","4,831","4,844","5,667","6,313","7,289","7,833","8,631","8,861","11,952","6,732","8,062","9,163","10,452","9,670","10,158","11,370","1/ From 2015, break in the series. Source: Inbound tourism survey.
2/ Excluding nationals residing abroad.
3/ Source: Outbound tourism survey."
Arrivals - Thousands,,TF,"1,396","1,201","1,611","1,640","2,019","2,420","2,789","3,167","2,955","3,514","3,914","4,519","4,935",..,..,..,..,..,..,..,"3,964","3,990","4,372",
Tourism expenditure in the country - US$ Mn,,IMF,593,589,578,625,785,854,886,985,"1,206","1,504","1,603","1,786","1,854","1,927","1,873","2,163","1,766","1,752","1,875","1,913","2,372","4,021","3,836",
Travel - US$ Mn,,IMF,247,263,311,366,518,573,630,740,720,864,920,"1,048","1,105","1,166","1,118","1,362","1,035","1,059","1,175","1,208","1,574","3,846","3,642",
Passenger transport - US$ Mn,,IMF,346,326,267,259,267,281,256,245,486,640,683,738,749,761,755,801,731,693,700,705,798,175,194,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,3/,VF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"4,741",..,..,
