COUNTRY,,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,NOTES
Passenger transport - US$ Mn,,IMF,3.6,5.2,6.9,7.8,0.4,..,..,..,..,6.5,7.8,11.4,9.6,10.7,9.3,10.3,9.3,12.3,11.5,2.6,1.2,0.7,0.7,
SAN MARINO,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,1/,THS,28,30,28,36,34,43,49,46,41,42,50,50,69,115,151,120,156,139,71,75,54,60,78,1/ Including Italian tourists.
Tourism expenditure in the country - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Travel - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Passenger transport - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Travel - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Passenger transport - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
SAO TOME AND PRINCIPE,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,,TF,6.2,6.4,4.8,5.6,5.8,7.1,7.5,9.2,10,10.6,15.8,12.3,11.8,14.5,15.2,8,12.2,..,..,..,25.6,29,..,
Tourism expenditure in the country - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30.9,56.1,62.5,69.1,65.9,
Travel - US$ Mn,,IMF,..,..,..,4.1,9.2,9.9,6.2,6.9,7.4,7.7,7.3,6.7,5,7.7,8.3,11.1,15.9,15,30.6,56,62.1,68.8,65.9,
Passenger transport - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.3,0.1,0.4,0.3,..,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,,IMF,..,..,..,1.9,2.2,2.2,2,1.8,1.8,2.1,0.5,1.1,0.7,0.3,0.4,0.6,1.4,3.2,3.1,18,22.1,20.6,17.2,
Travel - US$ Mn,,IMF,..,..,..,0.6,0.6,0.6,0.6,0.5,0.5,0.6,0.1,0.2,0.1,0,0,0.1,0.4,2.4,1.3,16.7,16.6,15.4,17.2,
Passenger transport - US$ Mn,,IMF,..,..,..,1.3,1.6,1.6,1.4,1.3,1.3,1.5,0.4,0.9,0.6,0.3,0.4,0.5,1,0.8,1.8,1.3,5.5,5.2,..,
SAUDI ARABIA,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,,TF,"3,325",..,..,..,..,"6,585","6,727","7,511","7,332","8,599","8,037","8,620","11,531","14,757","10,897","10,850","14,179","16,332","15,772","18,260","17,994","18,044","16,109","1/ 2002,2003: the expenditure figures are those provided by the country to UNWTO, which do not appear in the International Monetary Fund data.
2/ 2010: change in the methodology."
Tourism expenditure in the country - US$ Mn,1/,IMF,..,..,..,..,..,..,..,..,"3,418",..,..,..,"6,907","6,775","6,744","7,536","9,317","8,400","8,690","9,263","11,183","13,438","14,848",
Travel - US$ Mn,1/,IMF,..,..,..,..,..,..,..,..,..,"6,486","4,626","4,769","5,971","5,910","5,995","6,712","8,459","7,432","7,651","8,238","10,130","11,096","12,056",
Passenger transport - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,936,865,749,824,858,968,"1,039","1,025","1,053","2,342","2,792",
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,2/,TF,..,..,..,..,..,..,..,"7,896","4,104","3,811","4,403","2,000","4,126","4,087","6,032","17,827","15,281","18,671","19,154","19,824","20,819","21,207","21,071",
Tourism expenditure in other countries - US$ Mn,1/,IMF,..,..,..,..,..,..,..,"7,370","4,165",..,..,..,"21,031","16,005","21,312","22,076","18,202","17,986","18,648","25,137","20,366","17,671","18,745",
Travel - US$ Mn,1/,IMF,..,..,..,..,..,..,..,..,..,"4,428","9,087","12,979","20,170","15,129","20,419","21,135","17,271","17,023","17,660","24,118","19,346","16,658","17,312",
Passenger transport - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,861,876,893,941,931,963,988,"1,019","1,020","1,013","1,433",
SENEGAL,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,1/,TF,..,..,..,..,..,..,..,..,..,..,769,866,875,867,810,900,968,962,"1,063",963,"1,007","1,210","1,365",(1) From 2008 estimated data.
Arrivals - Thousands,,THS,280,282,314,352,369,389,396,427,354,363,387,406,387,..,..,..,..,..,..,908,680,820,955,
Tourism expenditure in the country - US$ Mn,,IMF,168,164,171,181,183,152,175,210,269,286,334,329,622,637,474,464,524,469,495,481,..,..,..,
Travel - US$ Mn,,IMF,168,156,162,172,174,144,174,190,209,211,242,250,531,543,463,453,468,407,439,423,..,..,..,
Passenger transport - US$ Mn,,IMF,0,8,9,9,9,8,1,20,60,75,92,79,91,94,11,11,56,62,56,58,..,..,..,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,,IMF,154,127,128,135,136,125,112,112,129,138,144,139,352,276,258,217,250,248,265,279,..,..,..,
Travel - US$ Mn,,IMF,72,53,53,54,54,47,43,43,55,57,65,54,253,175,156,160,151,144,150,148,..,..,..,
Passenger transport - US$ Mn,,IMF,82,74,75,81,82,78,69,69,74,81,79,85,99,101,102,57,99,104,115,131,..,..,..,
SERBIA,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,,TCE,..,..,..,..,..,..,..,312,339,392,453,469,696,646,645,683,764,810,922,"1,029","1,132","1,281","1,497",1/ 2002-2006: the expenditure figures are those provided by the country to UNWTO.
Tourism expenditure in the country - US$ Mn,1/,IMF,..,..,..,..,..,..,..,77,159,220,308,416,"1,018","1,114",986,950,"1,149","1,080","1,221","1,352","1,322","1,460","1,705",
Travel - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,866,942,866,799,990,921,"1,053","1,142","1,048","1,150","1,344",
Passenger transport - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,152,172,120,151,159,159,168,210,274,310,361,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,1/,IMF,..,..,..,..,..,..,..,105,144,208,260,322,"1,203","1,448","1,105","1,103","1,263","1,188","1,290","1,360","1,254","1,351","1,548",
Travel - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,"1,042","1,251",960,954,"1,105","1,031","1,117","1,179","1,102","1,202","1,380",
Passenger transport - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,161,197,145,149,158,157,173,181,152,149,168,
SERBIA AND MONTENEGRO,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,,TCE,228,301,298,283,152,239,351,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ The expenditure figures are those provided by the country to UNWTO, which do not appear in the International Monetary Fund data. Starting 1997 data are presented according to the IMF's Fifth issue of instructions on balance of payments."
Tourism expenditure in the country - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Travel - US$ Mn,1/,country,42,43,45,40,19,30,54,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Passenger transport - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Travel - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Passenger transport - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
SEYCHELLES,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,,TF,121,131,130,128,125,130,130,132,122,121,129,141,161,159,158,175,194,208,230,233,276,303,350,
Tourism expenditure in the country - US$ Mn,,IMF,224,182,195,191,202,225,221,247,258,256,269,323,396,408,349,352,380,429,484,480,483,505,585,
Travel - US$ Mn,,IMF,129,141,157,135,136,139,146,164,171,172,192,228,326,309,257,274,291,388,430,397,392,414,483,
Passenger transport - US$ Mn,,IMF,95,41,38,56,66,86,75,83,87,84,77,95,70,99,92,78,89,41,54,83,91,91,102,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,TF,31,29,30,31,32,36,41,53,50,48,52,55,58,54,49,59,48,45,47,50,56,68,74,
Tourism expenditure in other countries - US$ Mn,,IMF,34,31,31,29,28,44,41,53,54,53,59,56,73,64,56,63,65,58,62,65,54,92,104,
Travel - US$ Mn,,IMF,28,28,28,26,21,24,23,33,36,34,39,36,43,39,35,38,40,35,37,37,30,53,62,
Passenger transport - US$ Mn,,IMF,6,3,3,3,7,20,18,20,18,19,20,20,30,25,21,25,25,23,25,28,24,39,42,
SIERRA LEONE,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,1/,TF,13.8,21.9,7.5,12.9,10.6,16,24,28,38,44,40,34,32,36,37,39,52,60,81,44,24,55,..,1/ Arrivals by air.
Tourism expenditure in the country - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Travel - US$ Mn,,IMF,57,29,10,6,6,10,14,38,60,58,64,23,22,34,25,26,44,47,66,35,37,41,..,
Passenger transport - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,TF,..,..,6,7,13,13,20,27,13,28,63,67,71,73,72,76,99,104,111,93,61,92,..,
Tourism expenditure in other countries - US$ Mn,,IMF,51,37,18,13,44,35,42,39,38,30,34,15,17,24,26,22,26,32,71,45,34,37,..,
Travel - US$ Mn,,IMF,50,36,18,13,44,32,42,39,37,30,32,12,14,24,13,13,14,15,20,40,29,30,..,
Passenger transport - US$ Mn,,IMF,0.5,0.5,0.1,0.2,0.2,2.5,0.2,0.1,0.8,0.3,1.6,3,3,0.4,13,9,12,17,51,5,5,7,..,
SINGAPORE,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,,TF,"6,070","6,048","5,894","5,122","5,604","6,062","5,857","5,855","4,703","6,553","7,079","7,588","7,957","7,778","7,488","9,161","10,390","11,098","11,899","11,864","12,051","12,914","13,903",
Tourism expenditure in the country - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Travel - US$ Mn,,IMF,"7,611","7,402","6,326","4,603","5,089","5,142","4,641","4,458","3,842","5,327","6,209","7,536","9,066","10,615","9,225","14,178","17,929","18,795","19,231","19,161","16,617","18,945","19,707",
Passenger transport - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,TF,"2,867","3,305","3,671","3,745","3,971","4,444","4,363","4,399","4,221","5,165","5,159","5,533","6,024","6,828","6,961","7,342","7,753","8,048","8,647","8,903","9,125","9,474","9,889",
Tourism expenditure in other countries - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Travel - US$ Mn,,IMF,"4,663","5,015","4,358","3,222","4,217","4,535","6,600","8,212","8,382","9,291","10,070","11,268","13,503","16,340","15,704","18,700","21,406","23,121","24,383","25,519","23,702","23,838","24,543",
Passenger transport - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
SINT EUSTATIUS,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,1/,TF,8.8,8.2,8.5,8.6,9.2,9.1,9.7,9.8,10.5,11.1,10.4,9.6,11.6,11.8,12,11.4,..,..,..,..,..,..,..,1/ Excluding Netherlands Antillean residents.
Tourism expenditure in the country - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Travel - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Passenger transport - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Travel - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Passenger transport - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
SINT MAARTEN (DUTCH PART),,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,1/,TF,460,365,439,458,445,432,403,381,428,475,468,468,469,475,440,443,424,457,467,500,505,528,402,"1/ Arrivals by air. Including arrivals to Saint Maarten (the French side of the island).
2/ 1995-2006: Source: Central Bank of the Netherlands Antilles - Including the estimates for Saba and Saint Eustatius."
Tourism expenditure in the country - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,665,667,619,681,729,854,871,922,913,871,646,
Travel - US$ Mn,2/,IMF,349,322,379,430,443,511,484,489,538,626,659,651,662,663,616,674,719,842,857,906,898,857,630,
Passenger transport - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,3,4,3,7,10,12,14,16,15,14,16,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,83,88,104,105,112,120,114,117,118,114,100,
Travel - US$ Mn,2/,IMF,59,62,65,99,171,127,137,140,144,80,94,86,83,88,81,83,88,92,89,88,92,98,88,
Passenger transport - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,0.4,0.1,23,22,24,28,25,29,26,16,12,
SLOVAKIA,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,1/,TF,..,..,..,..,..,..,..,..,..,..,"6,184","6,579","7,269","6,643","5,298","5,415","5,961","6,235","6,816","6,020","7,025",..,..,"1/ New series: from 2003, the number of inbound arrivals is based on a combination of accommodation statistics and border survey statistics (as calculated within the Tourism Satellite Account).
2/ Non-resident tourists staying in commercial accommodation only (representing approximately 25% of all tourists."
Arrivals - Thousands,2/,TCE,903,951,814,896,975,"1,053","1,219","1,399","1,387","1,401","1,515","1,612","1,685","1,767","1,298","1,327","1,460","1,528","1,670","1,475","1,721","2,027","2,162",
Tourism expenditure in the country - US$ Mn,,IMF,630,681,555,493,465,441,649,742,876,931,"1,282","1,655","2,352","3,004","2,539","2,335","2,514","2,366","2,702","2,642","2,480","2,802","2,995",
Travel - US$ Mn,,IMF,623,673,545,488,461,433,641,736,865,905,"1,210","1,521","2,026","2,589","2,341","2,228","2,431","2,296","2,653","2,599","2,430","2,751","2,935",
Passenger transport - US$ Mn,,IMF,7,8,10,5,4,8,8,6,11,26,72,134,326,415,198,107,83,70,49,43,50,51,60,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,VF,..,..,..,..,..,..,..,..,..,..,"2,987","3,149","3,603","3,683","3,230","2,692","3,285","2,689","2,129","2,406","2,777","3,095","3,870",
Tourism expenditure in other countries - US$ Mn,,IMF,338,517,484,527,387,341,340,506,662,900,"1,122","1,230","1,825","2,596","2,249","2,146","2,449","2,310","2,523","2,581","2,265","2,419","2,597",
Travel - US$ Mn,,IMF,321,482,439,475,339,296,289,442,573,745,844,"1,060","1,533","2,165","2,098","1,944","2,186","2,141","2,367","2,427","2,125","2,240","2,410",
Passenger transport - US$ Mn,,IMF,17,35,45,52,48,45,51,64,89,155,278,170,292,431,151,202,263,169,156,154,140,179,187,
SLOVENIA,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,1/,TCE,732,832,974,977,884,"1,090","1,219","1,302","1,373","1,499","1,555","1,617","1,751","1,958","1,824","1,869","2,037","2,156","2,259","2,411","2,707","3,032","3,586",1/ Source: accommodation survey.
Tourism expenditure in the country - US$ Mn,,IMF,"1,128","1,280","1,225","1,135","1,011","1,016","1,059","1,152","1,427","1,725","1,894","2,074","2,465","2,954","2,735","2,721","2,953","2,737","2,900","2,944","2,521","2,627","2,952",
Travel - US$ Mn,,IMF,"1,084","1,240","1,181","1,088",958,961,"1,001","1,086","1,342","1,624","1,795","1,960","2,283","2,696","2,520","2,540","2,755","2,570","2,712","2,735","2,327","2,427","2,766",
Passenger transport - US$ Mn,,IMF,44,40,44,47,53,55,58,66,85,101,99,114,182,258,215,181,198,167,188,209,194,200,186,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,TF,..,..,..,..,..,"1,965","2,055","2,127","2,114","2,800","2,660","2,680","2,496","2,459","2,586","2,874","2,722","2,474","2,612","2,642","2,867","2,853","3,013",
Tourism expenditure in other countries - US$ Mn,,IMF,606,638,554,601,579,544,560,647,805,937,"1,019","1,058","1,261","1,610","1,456","1,377","1,315","1,081","1,081","1,149","1,051","1,126","1,141",
Travel - US$ Mn,,IMF,575,604,518,561,542,511,528,608,753,868,950,974,"1,144","1,357","1,278","1,214","1,143",932,939,991,912,948,"1,005",
Passenger transport - US$ Mn,,IMF,31,34,36,40,37,33,32,39,52,69,69,84,117,253,178,163,172,149,142,158,139,178,136,
SOLOMON ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,1/,TF,11.8,10.3,13.8,15.8,..,5.2,..,..,6.6,5.6,9.4,11.5,13.7,16.3,18.3,20.5,22.9,23.9,24.4,20.1,21.6,23.2,25.7,1/ 2004: without 1st and 2nd quarters; 2005: without 1st quarter.
Tourism expenditure in the country - US$ Mn,,IMF,17.1,16,9.7,7.1,9.7,4,8.8,0.8,1.6,3.5,6.4,30.9,33,31,39,51,66,65,71,65,60,71,79,
Travel - US$ Mn,,IMF,15.7,13.9,7.1,6.6,5.7,3.9,5.2,0.7,1.5,3.5,1.6,21.1,23,28,33,44,57,54,61,56,51,59,67,
Passenger transport - US$ Mn,,IMF,1.4,2.1,2.6,0.5,4,0.1,3.6,0.1,0.1,0,4.8,9.8,11,4,6,7,9,11,10,9,9,12,12,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,,IMF,17.4,18.5,14.8,10.2,11.4,12.2,10.5,8.5,6.4,12.3,11.2,26.5,36,41,38,51,66,68,68,66,61,75,73,
Travel - US$ Mn,,IMF,13.5,15.2,9,5.8,7.2,9.6,6.6,5.8,4.4,9,4.7,22.2,29,34,32,47,65,68,68,64,60,75,73,
Passenger transport - US$ Mn,,IMF,3.9,3.3,5.8,4.4,4.2,2.6,3.9,2.7,2,3.3,6.5,4.3,6.6,6.5,6,4,1.1,0.2,0.6,1.2,0.3,0.2,0.1,
SOUTH AFRICA,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,1/ 2/ 3/,TF,"4,488","4,915","4,976","5,732","5,890","5,872","5,787","6,430","6,505","6,678","7,369","8,396","9,091","9,592","7,012","8,074","8,339","9,188","9,537","9,549","8,904","10,044","10,285","1/ 1995-2008: excluding arrivals for work and contract workers.
2/ Since 2009 a new methodology has been applied and therefore, the information is not comparable to previous years.
3/ Since 2014 a new methodology has been applied and therefore, the information is not comparable to previous years. From 2014 excluding transit."
Tourism expenditure in the country - US$ Mn,,IMF,"2,654","3,137","3,422","3,419","3,407","3,338","3,256","3,695","6,674","7,571","8,629","9,211","10,226","9,178","8,684","10,309","10,706","11,202","10,468","10,484","9,140","8,807","9,699",
Travel - US$ Mn,,IMF,"2,126","2,615","2,851","2,854","2,800","2,677","2,569","2,923","5,712","6,513","7,516","8,120","8,779","7,956","7,624","9,085","9,515","9,996","9,245","9,338","8,259","7,919","8,810",
Passenger transport - US$ Mn,,IMF,528,522,571,565,607,661,687,772,962,"1,058","1,113","1,091","1,447","1,222","1,060","1,224","1,191","1,206","1,223","1,146",881,888,889,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,,IMF,"2,414","2,322","2,558","2,500","2,717","2,684","2,366","2,251","3,655","4,237","4,812","5,230","6,104","6,905","6,421","8,139","8,397","7,145","6,491","6,314","5,735","5,354","6,064",
Travel - US$ Mn,,IMF,"1,849","1,755","1,961","1,908","2,028","2,085","1,878","1,811","2,889","3,157","3,374","3,384","3,927","4,404","4,152","5,595","5,283","4,069","3,429","3,169","2,998","2,858","3,256",
Passenger transport - US$ Mn,,IMF,565,567,597,592,689,599,488,440,766,"1,080","1,438","1,846","2,177","2,501","2,269","2,544","3,114","3,076","3,062","3,145","2,737","2,496","2,808",
SOUTH SUDAN,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in the country - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22,24,26,
Travel - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.8,17,23,16,
Passenger transport - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5,0.5,10,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,539,144,108,
Travel - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,38,27,11,6,
Passenger transport - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,512,133,102,
SPAIN,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,1/,TF,"32,971","34,027","39,553","41,892","45,440","46,403","48,565","50,331","50,854","52,430","55,914","58,004","58,666","57,192","52,178","52,677","56,177","57,464","60,675","64,939","68,175","75,315","81,786","1/ Source: Frontur (Statistics of tourists’ flows at frontiers).
2015: data calculated by extrapolating the data of Turespaña until September to calculate the data for October, November and December. Since October 2015 this operation is carried out by the National Statistics Institute - INE.
2016: break in the series. The data are not comparable with those of previous years.
2/ Since 2005 a new methodology has been applied and data are not comparable to previous years."
Tourism expenditure in the country - US$ Mn,,IMF,"27,369","29,751","28,649","31,592","33,784","32,656","33,829","35,468","43,863","49,996",..,..,..,..,..,..,..,..,..,..,..,..,..,
Travel - US$ Mn,,IMF,"25,368","27,168","26,185","29,117","31,214","29,802","30,550","31,880","39,634","45,067","49,565","53,160","59,910","64,422","55,748","54,305","62,447","57,877","62,584","65,099","56,532","60,605","68,437",
Passenger transport - US$ Mn,,IMF,"2,001","2,583","2,464","2,475","2,570","2,854","3,279","3,588","4,229","4,929",..,..,..,..,..,..,..,..,..,..,..,..,..,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,2/,TF,"3,648","4,224","3,980","4,794","3,519","4,100","4,139","3,871","4,094","5,121","10,464","10,678","11,276","11,229","12,017","12,379","13,347","12,422","11,246","11,783","14,407","15,405","17,031",
Tourism expenditure in other countries - US$ Mn,,IMF,"5,826","6,332","6,163","7,119","7,803","7,710","8,466","9,366","11,330","14,864",..,..,..,..,..,..,..,..,..,..,..,..,..,
Travel - US$ Mn,,IMF,"4,539","5,057","4,681","5,288","5,862","5,922","6,529","7,295","9,071","12,153","15,175","16,824","19,870","20,540","17,133","16,930","17,374","15,401","16,434","17,969","17,347","19,284","22,321",
Passenger transport - US$ Mn,,IMF,"1,287","1,275","1,482","1,831","1,941","1,788","1,937","2,071","2,259","2,711",..,..,..,..,..,..,..,..,..,..,..,..,..,
SRI LANKA,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,1/,TF,403,302,366,381,436,400,337,393,501,566,549,560,494,438,448,654,856,"1,006","1,275","1,527","1,798","2,051","2,116",1/ Excluding nationals residing abroad.
Tourism expenditure in the country - US$ Mn,,IMF,367,282,351,369,414,388,347,594,709,808,729,733,750,803,754,"1,044","1,421","1,756","2,506","3,278","3,978","4,591","5,083",
Travel - US$ Mn,,IMF,226,166,209,230,273,248,213,363,441,513,429,410,385,342,350,576,830,"1,039","1,715","2,431","2,981","3,518","3,925",
Passenger transport - US$ Mn,,IMF,141,116,142,139,141,140,134,231,268,295,300,323,365,461,404,468,591,717,791,847,997,"1,073","1,158",
